SpecLabel,ModelKey,ColumnLabel,Name,NegLogLik,NTrialsLoss,NegLogLikPerTrial,FitObjective,Filename,Error,NTrialsTotal
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",Avgat1,2224.9004267730897,3115,0.7142537485627897,1.2608931040749414,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,4862
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",Avgat3,1764.5315394882175,2512,0.7024408994777936,1.2211981688550608,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,4096
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",GP4-85,5638.023878556998,3512,1.6053598743043844,1.3379976155694027,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,5850
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",RDK_WT1,3024.4395707030008,2692,1.1234916681660478,1.1891119845181586,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,3584
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",Rbp4_M2_1,6030.63675771619,3690,1.6343189045301327,1.3058787832912162,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,7182
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",vgat-40,9562.076072222211,7456,1.282467284364567,1.220009383261887,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,13464
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",vgat-94,18312.40493940376,12525,1.4620682586350309,1.157942604602787,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,23000
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",vgat-96,8586.243605320844,9791,0.8769526713635832,1.1920512017064848,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,18262
MLE + Chi²=0.1,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.1",vgatchr2-sk,2588.699448637542,2990,0.8657857687750976,1.276441880487192,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.1.pkl",,7395
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",Avgat1,2269.81100790038,3115,0.7286712705940225,1.7631825751675225,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,4862
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",Avgat3,1861.1002459379665,2512,0.7408838558670249,1.6604410603923636,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,4096
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",GP4-85,6055.8974859410955,3512,1.7243443866574872,1.8172726500048695,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,5850
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",RDK_WT1,3149.941443516471,2692,1.1701119775321214,1.5969934260707088,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,3584
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",Rbp4_M2_1,6486.3027772759015,3690,1.7578056306980763,1.7493255632007991,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,7182
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",vgat-40,10788.638660634202,7456,1.446974069291068,1.7263045502001664,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,13464
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",vgat-94,19179.197185933343,12525,1.5312732284178316,1.5981452275753258,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,23000
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",vgat-96,9662.678973675791,9791,0.9868939815826566,1.7127357279965296,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,18262
MLE + Chi²=0.5,"RewardRate|Q-Val (Offset)|Normal(0, 1)|4.8|0.005|sym","MLE=1, Chi²=0.5",vgatchr2-sk,3071.18376620141,2990,1.0271517612713745,1.8153148364611873,"mle_NoiseGain-RewardRate_biasQ-Val (Offset)_Normal(0, 1)_4.8s_dt0.005_mleW1_chi2W0.5.pkl",,7395
